1. 1, 2018-06-08 11:50:58pm,  2
2. 1, 8675309, 100, 2018-06-08 11:52:46pm,  2
3. 2, 064144282630, 5000, 2018-06-08 11:52:47pm,  1
4. 2, 064144282630, 5000, 2018-06-08 11:52:48pm,  1
5. 2, 064144282630, 5000, 2018-06-08 11:52:49pm,  1
6. 1, 8675309, 100, 2018-06-08 11:52:49pm,  2
7. Bulk BC:2, Item 1:064144282630, #5000, dt:2018-06-08 11:54:11pm,  stockID:1
8. Bulk BC:2, Item 1:064144282630, #5000, dt:2018-06-08 11:54:11pm,  stockID:1
9. Bulk BC:2, Item 1:064144282630, #5000, dt:2018-06-08 11:54:12pm,  stockID:1
10. Bulk BC:1, Item 1:8675309, #100, dt:2018-06-08 11:54:12pm,  stockID:2
11. Bulk BC:1, Item 1:8675309, #100, dt:2018-06-08 11:54:13pm,  stockID:2
12. Bulk BC:1, Item 1:8675309, #100, dt:2018-06-08 11:54:13pm,  stockID:2
13. Bulk BC:2, Item 1:064144282630, #5000, dt:2018-06-08 11:57:03pm,  stockID:1
14. Bulk BC:1, Item 1:8675309, #100, dt:2018-06-08 11:58:24pm,  stockID:2
15. Bulk BC:1, Item 1:8675309, #100, dt:2018-06-08 11:58:34pm,  stockID:2
16. Bulk BC:2, Item 1:064144282630, #5000, dt:2018-06-08 11:58:43pm,  stockID:1
17. Bulk BC:2, Item 1:064144282630, #5000, dt:2018-06-08 11:58:47pm,  stockID:1
